StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your Participant ID,I consent for my annonymised data to be used in this study. I also acknowledge that I can withdraw this consent at any time and have my data removed,How old are you,What gender do you identify as?,"Do you have much experience with VR/AR? If yes, how much experience do you have?",How knowledgable do you consider yourself when it comes to art?
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}"
2025-02-11 11:34:13,2025-02-11 11:35:48,IP Address,148.252.156.169,100,95,True,2025-02-11 11:35:50,R_8S8nnnvPcaEZ0vT,,,,,51.4964,-0.1224,anonymous,EN-GB,1,I consent,21,Female,Used VR once and AR twice,Novice
2025-02-11 13:04:55,2025-02-11 13:06:58,IP Address,130.209.157.50,100,123,True,2025-02-11 13:06:58,R_2abmuWVVJVz6Djj,,,,,55.867,-4.2621,anonymous,EN-GB,3,I consent,22,Male,No,Not very
2025-02-11 13:07:48,2025-02-11 13:08:06,IP Address,130.209.157.50,100,17,True,2025-02-11 13:08:06,R_8tVpQeYkbjIfdvP,,,,,55.867,-4.2621,anonymous,EN-GB,2,I consent,21,Male,"Not much ",I am aware of it
2025-02-11 15:20:35,2025-02-11 15:21:39,IP Address,130.209.157.51,100,63,True,2025-02-11 15:21:39,R_2xcaSZSkYQZCt8d,,,,,55.867,-4.2621,anonymous,EN-GB,4,I consent,21,Female,None,"Very little, I prefer reading or history museums"
2025-02-11 15:33:26,2025-02-11 15:36:44,IP Address,130.209.157.50,100,197,True,2025-02-11 15:36:44,R_8ABU69XJAHGClMd,,,,,55.867,-4.2621,anonymous,EN-GB,5,I consent,21,Male,"I've got some experience, mainly just mobile AR  ",Not Knowledgeable
2025-02-16 10:01:06,2025-02-16 10:02:18,IP Address,92.40.193.139,100,71,True,2025-02-16 10:02:18,R_2Rqq5Khl47m7BRL,,,,,55.867,-4.2621,anonymous,EN-GB,6,I consent,52,Female,No,Not very
2025-02-16 10:30:06,2025-02-16 10:31:06,IP Address,92.40.192.243,100,59,True,2025-02-16 10:31:06,R_2NftWx5rT90zPAM,,,,,55.8803,-4.3055,anonymous,EN-GB,7,I consent,51,Male,None,Limited. Occasionally visit art galleries when on holdiay
2025-02-16 13:17:14,2025-02-16 13:18:05,IP Address,109.144.212.10,100,50,True,2025-02-16 13:18:05,R_25FKSC3505NZ1lm,,,,,51.6235,-4.0344,anonymous,EN-GB,8,I consent,76,Female,None,"Average "
2025-02-18 11:13:09,2025-02-18 11:14:01,IP Address,130.209.157.50,100,52,True,2025-02-18 11:14:02,R_2jpQld0koQMlQsa,,,,,55.8803,-4.3055,anonymous,EN-GB,9,I consent,44,Prefer not to say,None,Very
2025-02-18 13:35:53,2025-02-18 13:36:45,IP Address,194.81.172.16,100,52,True,2025-02-18 13:36:45,R_8ClkjZr7Zmy3PHz,,,,,55.8803,-4.3055,anonymous,EN-GB,10,I consent,19,Male,"I have used it a few times, but I'm very familiar with the concept",Not very
2025-02-23 16:21:46,2025-02-23 16:23:38,IP Address,194.81.172.16,100,111,True,2025-02-23 16:23:38,R_8mtqR8wSYViLzHB,,,,,55.867,-4.2621,anonymous,EN-GB,12,I consent,21,Female,"Watching YouTube on phone VR set. ",A little
2025-02-23 16:21:39,2025-02-23 16:23:55,IP Address,78.86.3.239,100,135,True,2025-02-23 16:23:55,R_8zAvdBptlduvW2T,,,,,51.4666,-0.112,anonymous,EN-GB,11,I consent,20,Male,No,Some what
